artist_name,count
Rihanna,72
Katy Perry,49
Adele,47
BoB feat. Bruno Mars,38
Coldplay,36
Lana Del Ray,35
Silbermond,35
Beyonce,34
Nicki Minaj,34
Taio Cruz,33
Chris Brown,33
Glasperlenspiel,31
Lady GaGa,29
Rosenstolz,28
Gotye,27
Drake,26
Carly Rae Jepsen,26
Unheilig,25
Nena,23
Avicci,22
Justin Bieber,22
Juli,21
Trey Songz,20
Amy Winehouse,20
Nickelback,20
Frida Gold,19
Muse,19
Christina Perri,19
Wiz Khalifa,19
Marlon Roudette,19
Foster The People,19
Pitbull,18
B.E.P.,18
Revolverheld,18
Aloe Blacc,18
Usher,18
Lil Wayne,17
Maroon 5,17
Christina Aguilera,17
Olly Murs,17
Linkin Park,17
Andreas Bourani,17
Booba,17
Rea,17
Tim Bendzko,17
Kings Of Leon,16
Eminem,16
Alexandra Stan,16
One Direction,16
Tyga,16
David Guetta,16
Kanye,15
Madcon,15
30 Seconds to Mars,15
Skrillex,15
Gossip,15
Ed Sheeran,15
Rick Ross,15
Asaf Avidan & The Mojos,15
M. Jackson,15
Nelly Furtado,15
Dragonette,14
Loreen,14
J Lo,14
Fun,14
Hurts,14
Roman Lob,13
Xavier Naidoo,13
Jessie J,13
DJ Shadow,13
Green Day,13
R.H.C.P.,12
The Beat Shakers,12
Kid Ink,12
2Pac,12
My Chemical Romance,12
Emeli Sande,12
Nossa Nossa,12
Sunrise Avenue,12
Jason Derulo,12
Inna,12
The Wanted,12
Sia,12
Empire Of The Sun,11
Train,11
The Beatles,11
Taylor Swift,11
The BossHoss,10
Akon,10
Paramore,10
Kid Cudi,10
Snow Patrol,10
Falco,10
Lena,10
Leona Lewis,10
U2,10
Rohff,10
Roger Cicero,10
Plan B,10
Wir sind Helden,10
Jupiter Jones,9
OneRepublic,9
Meek Mill,9
Shakira,9
Sportfreunde Stiller,9
Flux Pavilion,9
Medina,9
Rolling Stones,9
Gildas Loaëc,9
"Black Squirrel (Broken, Beat & Scarred).mp3",9
Flo Rida,9
Alicia Keys,9
Amy MacDonald,9
Rolf Zuckowski,9
Calvin Harris,9
The Killers,9
El Presidente,9
Macklemore,9
Of Monsters and Men,9
Avenged Sevenfold,8
Bruce Springsteen,8
Sexion D’assaut,8
Frank Ocean,8
Alexander Knappe,8
Madonna,8
Silly,8
Marvin,8
Labrinth,8
Nirvana,8
Kylie,8
The Weeknd,8
Michael Kiwanuka,8
Rock Mafia,8
Ne-Yo,7
Die Kurzen Hosen,7
Caro Emerald,7
Professor Green,7
Youssoupha,7
Sum 41,7
Nas,7
Bowie,7
Gusttavo Lima,7
No Doubt,7
Birdy,7
Miguel,7
Hollywood Undead,7
Donna Lewis,7
Floyd,7
