,artist_name,track_title,id,popularity
0,Destiny's Child,Bootylicious,41nT1Sp6ChR65FbsdLlFHW,67.0
1,Olly Murs,Heart Skips a Beat,2629nSdHjNQ17wSEWRYbFl,37.0
2,The Killers,Human,1sTsuZTdANkiFd7T34H3nb,78.0
3,The Overtones,Gambling Man,1HQnL63gTopY1E2oS1PBvz,31.0
4,Revolverheld,Halt dich an mir fest,7wvNpjFIYyt8nmKbwiSoIg,36.0
5,America,Lonely People,5coTcHT7K8O3G97y9T4LOU,67.0
6,Alt-J,Matilda,3aA5fk4c6a7e5HM4rJqkSF,54.0
7,One Direction,More Than This,0UAB340gAcSMk3r0a8PTag,66.0
8,Olly Murs,Ask Me to Stay,0ZQIhW1TSnZ6cTetuthGtU,23.0
9,Rumer,Aretha,6scsaELzOwUWE1ysND8u5I,37.0
10,Linkin Park,Burn It Down,7oVEtyuv9NBmnytsCIsY5I,78.0
11,Porter Robinson,Unison,75T1xBaarYAqYdNtFZxUaZ,34.0
12,Sonata Arctica,Replica,2A4rfHIusMPUyTN2RAgsKw,49.0
13,Trey Songz,Heart Attack,25CA8QVJQrh5R05UUCaODM,58.0
14,Testament,Practice What You Preach,1KmX2Q8IwwLY2AMIMOmYlw,50.0
15,Justin Timberlake,Rock Your Body,1AWQoqb9bSvzTjaLralEkT,83.0
16,Clock Opera,Belongings,0boOvZ5Is3vYmdh7FVRnzr,14.0
17,Daddy Yankee,Rompe,4Xtlw8oXkIOvzV7crUBKeZ,77.0
18,MGMT,Kids,1jJci4qxiYcOHhQR247rEU,81.0
19,The Black Keys,Gold on the Ceiling,5lN1EH25gdiqT1SFALMAq1,78.0
20,Wiz Khalifa,Till I'm Gone,2uYlOkw3TLAYe8SLO8Mczt,18.0
21,Roxette,Spending My Time,47PQWnMc01EmIH0PD2UuGb,48.0
22,Stooshe,Black Heart,2WfVeDOEB7PDDNqFn1VCYe,37.0
23,Titiyo,Come Along,7GmHOAdriOnI9s5S79GAUr,58.0
24,Red House Painters,Michigan,2TzUutzJiSXjac3RTr6tZp,24.0
25,Haircut 100,Fantastic Day,7rkuZX0U9yd6RP9kO56qS2,42.0
26,Lily Allen,22,1sFKcUH5sMAV4Qs0E99OLq,47.0
