artist_name;track_title;id;popularity
Destiny's Child;Bootylicious;41nT1Sp6ChR65FbsdLlFHW;67
Wale;Underdog;nan;nan
Olly Murs;Heart Skips a Beat;2629nSdHjNQ17wSEWRYbFl;37
Eko;Intro;nan;nan
The Killers;Human;1sTsuZTdANkiFd7T34H3nb;78
Willy Moon;Yeah Yeah;nan;nan
Chipmunk;Champion;nan;nan
The Overtones;Gambling Man;1HQnL63gTopY1E2oS1PBvz;31
Revolverheld;Halt dich an mir fest;7wvNpjFIYyt8nmKbwiSoIg;36
America;Lonely People;5coTcHT7K8O3G97y9T4LOU;67
Break Anchor;A Failure Of Epic Proportions;nan;nan
Beyonce;Single Ladies;nan;nan
Alt-J;Matilda;3aA5fk4c6a7e5HM4rJqkSF;54
One Direction;More Than This;0UAB340gAcSMk3r0a8PTag;66
Olly Murs;Ask Me to Stay;0ZQIhW1TSnZ6cTetuthGtU;23
Rumer;Aretha;6scsaELzOwUWE1ysND8u5I;37
Linkin Park;Burn It Down;7oVEtyuv9NBmnytsCIsY5I;78
Porter Robinson;Unison;75T1xBaarYAqYdNtFZxUaZ;34
Sonata Arctica;Replica;2A4rfHIusMPUyTN2RAgsKw;49
Trey Songz;Heart Attack;25CA8QVJQrh5R05UUCaODM;58
Testament;Practice What You Preach;1KmX2Q8IwwLY2AMIMOmYlw;50
Justin Timberlake;Rock Your Body;1AWQoqb9bSvzTjaLralEkT;83
Clock Opera;Belongings;0boOvZ5Is3vYmdh7FVRnzr;14
Daddy Yankee;Rompe;4Xtlw8oXkIOvzV7crUBKeZ;77
MGMT;Kids;1jJci4qxiYcOHhQR247rEU;81
Kanye;Gotta Have It;nan;nan
The Black Keys;Gold on the Ceiling;5lN1EH25gdiqT1SFALMAq1;78
Wiz Khalifa;Till I'm Gone;2uYlOkw3TLAYe8SLO8Mczt;18
Roxette;Spending My Time;47PQWnMc01EmIH0PD2UuGb;48
Stooshe;Black Heart;2WfVeDOEB7PDDNqFn1VCYe;37
Titiyo;Come Along;7GmHOAdriOnI9s5S79GAUr;58
T Pain;Baby Don't Go;nan;nan
B Bag Raiders;Way back home;nan;nan
Unheilig;Winter;nan;nan
Red House Painters;Michigan;2TzUutzJiSXjac3RTr6tZp;24
Haircut 100;Fantastic Day;7rkuZX0U9yd6RP9kO56qS2;42
Lily Allen;22;1sFKcUH5sMAV4Qs0E99OLq;47
Glee Cast;3;nan;nan
One Direction;I Should Have Kissed You;4yVPaA6DOfwbqZIQNv4G5U;60
The Lumineers;Ho Hey;0W4Kpfp1w2xkY3PrV714B7;79
Aerosmith;Dream On;1xsYj84j7hUDDnTTerGWlH;86
Killswitch Engage;This Fire Burns;nan;nan
Emeli Sande;Heaven;nan;nan
Status Quo;You're in the Army Now;nan;nan
Mark Forster;Auf dem Weg;3qFESEdFeXy5ULJImtL672;42
Arthur Conley;Sweet Soul Music;2YuIyYri67bgUXKQW5V9XW;64
Shinedown;Bully;0Ldlex2J63L6Dop9Pk2Rz9;61
Rihanna;Rehab;5X3ahLXhOw16BR09GjYPUT;69
Swing Out Sister;Surrender;5DWXIxyp3NphgznDrDonx3;42
The Fray;Look After You;5l6hpyTGBK0LAAxgPnqTQL;80
Air;Seven Stars;4s0bhnrvdhWmN5qfjk1aYB;34
Glee Cast;Sweet Transvestite;5Uaz86QcbGZgTyS5sh6TmM;42
Bombay Bicycle Club;Shuffle;4yYvWFUWMaKMXtoJKJnmZk;62
Taio Cruz;Hangover;5pmL3RzOy3IvGFaSDi4hZL;75
Snoop;I Wanna Rock;nan;nan
